subscription_id,user_id,plan,start_date,end_date,amount_local,currency,amount_sgd
36,36,Free,2024-02-25,2024-07-06,0.0,IDR,0.0
37,37,Free,2024-03-03,,0.0,THB,0.0
38,38,Premium,2024-09-11,,154800.0,IDR,12.9
39,39,Free,2024-05-23,,0.0,MYR,0.0
40,40,Premium,2024-09-12,,154800.0,IDR,12.9
41,41,Free,2024-04-10,,0.0,VND,0.0
42,42,Free,2024-04-05,,0.0,SGD,0.0
43,43,Free,2025-02-20,,0.0,VND,0.0
44,44,Free,2024-03-01,,0.0,IDR,0.0
45,45,Free,2024-09-28,,0.0,MYR,0.0
46,46,Free,2025-03-09,,0.0,VND,0.0
47,47,Basic,2025-05-13,2024-09-26,240.3,THB,8.9
48,48,Basic,2024-02-29,,31.15,MYR,8.9
49,49,Basic,2024-11-17,,382.7,PHP,8.9
50,50,Free,2025-05-29,,0.0,SGD,0.0
51,51,Free,2024-02-28,,0.0,VND,0.0
52,52,Basic,2024-03-11,,551.8,INR,8.9
53,53,Free,2025-02-17,,0.0,PHP,0.0
54,54,Free,2024-02-10,2024-12-11,0.0,MYR,0.0
55,55,Free,2024-11-19,,0.0,PHP,0.0
56,56,Free,2024-11-17,,0.0,INR,0.0
57,57,Basic,2024-11-03,,31.15,MYR,8.9
58,58,Free,2024-01-10,,0.0,IDR,0.0
59,59,Basic,2024-03-16,,106800.0,IDR,8.9
60,60,Free,2024-05-15,,0.0,IDR,0.0
61,61,Free,2025-01-13,,0.0,INR,0.0
62,62,Free,2024-11-05,,0.0,IDR,0.0
63,63,Free,2024-01-09,2024-12-15,0.0,PHP,0.0
64,64,Free,2024-04-16,2024-08-07,0.0,THB,0.0
65,65,Basic,2024-04-28,,551.8,INR,8.9
66,66,Premium,2024-06-08,,245100.0,VND,12.9
67,67,Free,2024-12-17,,0.0,MYR,0.0
68,68,Basic,2025-06-01,,31.15,MYR,8.9
69,69,Free,2025-03-09,,0.0,IDR,0.0
70,70,Premium,2024-12-07,,245100.0,VND,12.9
71,71,Free,2024-06-14,,0.0,VND,0.0
72,72,Free,2025-03-13,2024-07-26,0.0,THB,0.0
73,73,Premium,2024-06-01,,154800.0,IDR,12.9
74,74,Basic,2024-05-31,2024-06-09,106800.0,IDR,8.9
75,75,Premium,2025-01-08,,154800.0,IDR,12.9
76,76,Free,2024-08-03,,0.0,VND,0.0
77,77,Premium,2024-12-28,2024-09-12,348.3,THB,12.9
78,78,Free,2024-06-07,2025-02-23,0.0,VND,0.0
79,79,Basic,2024-06-30,,169100.0,VND,8.9
80,80,Premium,2024-12-06,,245100.0,VND,12.9
81,81,Basic,2024-09-11,,169100.0,VND,8.9
82,82,Basic,2025-01-26,2025-02-14,31.15,MYR,8.9
83,83,Free,2024-07-23,,0.0,VND,0.0
84,84,Free,2024-11-08,,0.0,VND,0.0
85,85,Premium,2024-01-25,,245100.0,VND,12.9
86,86,Premium,2024-10-12,,348.3,THB,12.9
87,87,Free,2024-12-25,,0.0,VND,0.0
88,88,Free,2024-12-05,,0.0,PHP,0.0
89,89,Basic,2024-07-01,,551.8,INR,8.9
90,90,Free,2024-04-21,2025-05-17,0.0,PHP,0.0
91,91,Basic,2024-11-17,,382.7,PHP,8.9
92,92,Premium,2025-01-29,2025-01-01,154800.0,IDR,12.9
93,93,Free,2024-02-15,,0.0,VND,0.0
94,94,Free,2024-07-20,2024-08-16,0.0,THB,0.0
95,95,Free,2024-12-04,,0.0,IDR,0.0
96,96,Free,2024-11-03,,0.0,PHP,0.0
97,97,Free,2024-11-30,,0.0,IDR,0.0
98,98,Free,2024-05-10,2025-04-07,0.0,IDR,0.0
99,99,Free,2024-06-27,,0.0,MYR,0.0
100,100,Basic,2024-01-01,,382.7,PHP,8.9
